license_id,brand_name,ingredient,drugbank_id,potential_indication,similar_drug,similarity_score,source
SIN16941P,EPLERENONE MEVON FILM-COATED TABLETS 25 MG,EPLERENONE,DB00700,aids,DORAVIRINE,0.5,KG (target similarity)
SIN16941P,EPLERENONE MEVON FILM-COATED TABLETS 25 MG,EPLERENONE,DB00700,hiv infectious disease,DORAVIRINE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,neonatal intrahepatic cholestasis due to citrin deficiency,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,adult-onset citrullinemia type i,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,argininosuccinic aciduria,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,hyperammonemia due to n-acetylglutamate synthase deficiency,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,urea cycle disorder,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN06778P,NAVELBINE INJECTION 10 mg/ml,VINORELBINE (BASE),DB00361,citrullinemia,GLYCEROL PHENYLBUTYRATE,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,mycoplasma pneumoniae pneumonia,GATIFLOXACIN,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,seborrheic dermatitis,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,external ear disease,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,tinea infection,HYDROCORTISONE,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,acute contagious conjunctivitis,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,staphylococcal infection,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,pneumonia caused by chlamydia,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,conjunctivitis,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,streptococcal pneumonia,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,staphylococcus aureus infection,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,staphylococcal pneumonia,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,bacterial pneumonia,GATIFLOXACIN,0.5,KG (target similarity)
SIN15704P,TRESIBA® FLEXTOUCH® SOLUTION FOR INJECTION IN PRE-FILLED PEN 200 U/ML,INSULIN DEGLUDEC,DB09564,acute gonococcal cervicitis,GATIFLOXACIN,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,hiv infectious disease,FOSAMPRENAVIR,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,aids,FOSAMPRENAVIR,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,bullous impetigo,RETAPAMULIN,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,impetigo,RETAPAMULIN,0.5,KG (target similarity)
SIN14762P,SYLVANT POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 100MG/VIAL,SILTUXIMAB,DB09036,vulvovaginal candidiasis,CANDICIDIN,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,lupus erythematosus,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,malignant otitis externa caused by pseudomonas aeruginosa,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,x-linked adrenal hypoplasia congenita,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,neurodermatitis,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,aphthous stomatitis,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,lichen disease,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,familial adrenal hypoplasia with absent pituitary luteinizing hormone,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,seborrheic keratosis,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,granuloma annulare,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,otitis externa,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,musculoskeletal system disease,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,dermatophytosis of groin and perianal area,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,tinea pedis,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,inherited aplastic anemia,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,canker sore,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,discoid lupus erythematosus,HYDROCORTISONE,0.5,KG (target similarity)
SIN08555P,EFFICORT LIPOCREAM 0.127%,HYDROCORTISONE ACEPONATE,DB14538,chronic cutaneous lupus erythematosus,HYDROCORTISONE,0.5,KG (target similarity)
SIN16007P,POLIVY POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 140MG,POLATUZUMAB VEDOTIN,DB12240,zygomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15600P,ESBRIET FILM COATED TABLET 267MG,PIRFENIDONE,DB04951,liposarcoma,TRABECTEDIN,0.5,KG (target similarity)
SIN16007P,POLIVY POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION 140MG,POLATUZUMAB VEDOTIN,DB12240,ornithosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,pharyngitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,conjunctivitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,disseminated candidiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,chancroid,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,rickettsialpox,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,pneumonia,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,sinusitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,yaws,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,typhus,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,spotted fever,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,white piedra,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,sporotrichosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,bronchitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,cat-scratch disease,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,leptospirosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,coccidioidomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,rocky mountain spotted fever,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,actinomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,japanese spotted fever,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,blastomycosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,urinary tract infection (disease),AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,lymphogranuloma venereum,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,leishmaniasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,gonorrhea,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,aspergillosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,erythrasma,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,q fever,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,relapsing fever,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,trachoma,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,brucellosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,histoplasmosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,acne (disease),AMPHOTERICIN B,0.5,KG (target similarity)
SIN15880P,SPEDRA TABLET 50MG,AVANAFIL,DB06237,syphilis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,disseminated candidiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,conjunctivitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,brucellosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,histoplasmosis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,acne (disease),AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,syphilis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,necrotizing ulcerative gingivitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,trypanosomiasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,actinomycetales infectious disease,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,visceral leishmaniasis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN13640P,Celsentri Film-Coated Tablet 150mg,MARAVIROC,DB04835,acute gonococcal cervicitis,AMPHOTERICIN B,0.5,KG (target similarity)
SIN17118P,ANAGRELIDE MEVON CAPSULES 0.5 MG,ANAGRELIDE,DB00261,sinusitis,GARENOXACIN,0.5,KG (target similarity)
SIN17118P,ANAGRELIDE MEVON CAPSULES 0.5 MG,ANAGRELIDE,DB00261,bacterial pneumonia,GARENOXACIN,0.5,KG (target similarity)
SIN17118P,ANAGRELIDE MEVON CAPSULES 0.5 MG,ANAGRELIDE,DB00261,peritonsillar abscess,GARENOXACIN,0.5,KG (target similarity)
SIN17118P,ANAGRELIDE MEVON CAPSULES 0.5 MG,ANAGRELIDE,DB00261,mycoplasma pneumoniae pneumonia,GEMIFLOXACIN,0.5,KG (target similarity)
SIN15260P,BEPRAZ GASTRO RESISTANT TABLETS 10MG,RABEPRAZOLE SODIUM,DB01129,intrinsic asthma,ZAFIRLUKAST,0.5,KG (target similarity)
